ts_code,year,month,fund_name,上证50,消费50,红利指数,yearmth
004674.OF,2023,3,富国新机遇A,0.1122009289970731,0.07383650747432416,0.0,202303
004683.OF,2022,12,建信高端医疗A,0.10909925607013729,0.0,0.0,202212
004685.OF,2022,12,金元顺安元启,0.0007533788401526769,0.000308220561691033,0.008385606575482181,202212
004686.OF,2023,3,华夏研究精选,0.11294488938351357,0.0,0.02950951575898708,202303
004693.OF,2023,3,前海联合泳隽A,0.2593867810273571,0.0,0.0,202303
004694.OF,2023,3,天弘策略精选A,0.057404496464897994,0.0,0.0,202303
004695.OF,2023,3,东兴未来价值A,0.3039470151236179,0.14333660462073425,0.0,202303
004698.OF,2023,3,博时军工主题A,0.04819429004661833,0.0,0.0,202303
004702.OF,2022,12,南方金融主题A,0.028824282829605558,0.006973266468389801,0.001174722450069973,202212
004703.OF,2022,12,南方兴盛先锋A,0.03369057448703366,0.03369057448703366,0.02594509041324054,202212
004707.OF,2023,3,景顺长城睿成A,0.07937726674964146,0.0,0.0,202303
004710.OF,2023,3,民生加银鹏程A,0.05123614343753469,0.013234293150444068,0.0,202303
004716.OF,2023,3,信诚量化阿尔法A,0.1514093941557397,0.05760756872575961,0.0,202303
004720.OF,2023,3,华夏睿磐泰茂A,0.017680350438968106,0.0054705673168161245,0.0,202303
004726.OF,2023,3,先锋聚优A,0.030450270930623195,0.0,0.0,202303
004730.OF,2023,3,建信量化事件驱动,0.10921029462994085,0.06252337301003263,0.0,202303
004731.OF,2023,3,万家瑞尧A,0.03128150430832272,0.028620508436652987,0.016815798575830595,202303
004734.OF,2023,3,中欧瑾灵A,0.033651978576602556,0.018463282045366687,0.0,202303
004738.OF,2023,3,摩根安隆回报A,0.018458069313153126,0.0,0.0,202303
004745.OF,2022,12,长盛创新驱动A,0.058684847095181146,0.0,0.0,202212
004750.OF,2023,3,广发鑫和A,0.0092804371190174,0.0092804371190174,0.0,202303
004756.OF,2023,3,国寿安保稳吉A,0.09830254518000882,0.06635946902084029,0.01269680835835441,202303
004760.OF,2023,3,国寿安保稳瑞A,0.011832864960346655,0.021451754797675672,0.0,202303
004763.OF,2023,3,中科沃土沃嘉A,0.024005860610548147,0.010774932069784722,0.0,202303
004772.OF,2023,3,国寿安保稳泰A,0.016537713549848124,0.004948858254901272,0.0,202303
004784.OF,2022,12,招商稳健优选,0.055164803332292914,0.013780178306647354,0.0,202212
004788.OF,2023,3,富荣沪深300增强A,0.1325127380697306,0.05855931559314074,0.0,202303
004794.OF,2023,3,富荣福鑫A,0.03573874997385029,0.03573874997385029,0.0,202303
